code,similarity,nl
find Path -name Regex | sort,find path -name regex | sort,find recurs all file match pattern _REGEX in _DIRECTORY directori and print a sort list of them
uniq,uniq,print standard input to standard output line by line discard ani adjac duplic line
echo Regex | rev | cut -b Number | rev,echo regex | rev | cut -b number | rev,keep last _NUMBER ascii charact of a string
find $directory -type -f -execdir zip -j $ZipFileName {};,find $directory -type -f -execdir zip -j $zipfilename {};,creat a zip file of all file in some directori
"find /the/path -depth -name *.abc -exec sh -c mv ""$1"" ""${1%.abc}.edefg"" _ {} ;","find /the/path -depth -name *.abc -exec sh -c mv ""$1"" ""${1%.abc}.edefg"" _ {} ;",chang extens of all _FILE file in folder _FILE to _FILE and not chang in sub directori
find Path -regex Regex,find path -regex regex,display all file in current folder use regular express
find Path -depth -print | cpio -o -O Regex,find path -depth -print | cpio -o -o regex,copi a complex directori tree from one machin _FILE anoth while preserv copi permiss and ownership
your_command | less,your_command | less,run _REGEX let user page through output and move around with arrow key q key termin and return to shell prompt
find Path -mtime Timespan,find path -mtime timespan,find all file in folder _FILE which been modifi exact _TIMESPAN ago
ps -p 24297 -o comm --no-heading,ps -p 24297 -o comm --no-heading,get a path name of a process id
cat -e File | less,cat -e file | less,page through content of yourfil ad a _REGEX at end of each line
echo Regex | tee >( tr Regex Regex ) | tr Regex Regex,echo regex | tee >( tr regex regex ) | tr regex regex,print string _NUMBER onc with _NUMBER replac by _REGEX and second time replac by _REGEX
find Path -type f -name Regex -exec rm -v -f {} \;,find path -type f -name regex -exec rm -v -f {} \;,find recurs all file in _REGEX directori tree whose name end with _FILE and delet them
mkdir Directory,mkdir directory,make directori _FILE
set Regex Regex $( pwd ),set regex regex $( pwd ),creat path as current folder path and folder that contain _REGEX file and save result in _REGEX variabl
find . -iname *.mov -printf %p %f\n | xargs -l bash -c echo ffmpeg -i $0 -f flv $1 | xargs,find . -iname *.mov -printf %p %f\n | xargs -l bash -c echo ffmpeg -i $0 -f flv $1 | xargs,find all _FILE file under current directori and run an ffmpeg command with path and name for each file
find Path -type f -exec file {} \;,find path -type f -exec file {} \;,show file type inform for all regular file under _FILE directori tree
mysqldump --all-databases | ssh user@yourserver.com mysql,mysqldump --all-databases | ssh user@yourserver.com mysql,dump all mysql databas over an ssh tunnel to _FILE and use it as input to mysql
cat File | tr -s Regex | cut -d Regex -f Number,cat file | tr -s regex | cut -d regex -f number,print fourth column of data from text file _FILE where column separ by one or more whitespac
cat /tmp/nums | addnums,cat /tmp/nums | addnums,print content of _FILE as input to _REGEX
find Path -name Regex | xargs -I {} grep -i Regex {},find path -name regex | xargs -i {} grep -i regex {},recurs find all _FILE file and print string with _REGEX ignor text distinct
find Path -type f -cmin -Quantity -exec cp {} File \;,find path -type f -cmin -quantity -exec cp {} file \;,find recurs all regular file in directori tree b that were chang within _TIMESPAN and copi them to directori _FILE
find -maxdepth 0 -name *.sh -exec ./lastline.sh {} ;,find -maxdepth 0 -name *.sh -exec ./lastline.sh {} ;,execut shell script with find command
find . -iname *.pdf -exec pdfgrep -i keyword {} +,find . -iname *.pdf -exec pdfgrep -i keyword {} +,search all _FILE from current directori tree for _REGEX ignor case
find Path -type f -exec grep -l Regex {} \; -exec file {} \; | grep Regex,find path -type f -exec grep -l regex {} \; -exec file {} \; | grep regex,search _REGEX recurs for text file contain _REGEX
command $(zcat input1.txt.gz) $(zcat input2.txt),command $(zcat input1.txt.gz) $(zcat input2.txt),use content of compress file _FILE and _FILE as argument to _REGEX
diff <( ls File ) <( ls File ),diff <( ls file ) <( ls file ),compar content of _FILE and _FILE line by line
find Path -ls,find path -ls,list all file under and below directori given as variabl _REGEX
rm -f File File,rm -f file file,forcibl remov all file like _FILE and _REGEX
yum --enablerepo=remi install php-mbstring,yum --enablerepo=remi install php-mbstring,instal _REGEX packag enabl _REGEX repositori
find Path -name Regex -type f -daystart -mtime +Timespan -mtime -Timespan,find path -name regex -type f -daystart -mtime +timespan -mtime -timespan,find all text file that modifi in _TIMESPAN and not modifi _DATETIME
find Path -type f -print0 | xargs -0 -I {} grep -i -l Regex {},find path -type f -print0 | xargs -0 -i {} grep -i -l regex {},list file from current directori tree that contain line match regular express _REGEX
find Path -perm -Permission -print | xargs -I {} chmod Permission {},find path -perm -permission -print | xargs -i {} chmod permission {},find file with group write permiss and remov permiss
find Path -size +Size -exec ls -l -s {} + | sort -n | tail - Quantity,find path -size +size -exec ls -l -s {} + | sort -n | tail - quantity,search for all file in current folder which are bigger than _SIZE and display them biggest file
diff <( curl Regex Regex ) <( curl Regex Regex ),diff <( curl regex regex ) <( curl regex regex ),find a differ between websit content of _DIRECTORY and _DIRECTORY
grep -v Regex | paste -s -d Regex File,grep -v regex | paste -s -d regex file,merg each non-blank line of standard input into a singl comma separ line
find Path -maxdepth Quantity -type f -name Regex -print0,find path -maxdepth quantity -type f -name regex -print0,print a null-separ list of all hidden regular file from home directori
screen -r foo,screen -r foo,reattach to a name screen session
find Path -name Regex | xargs -I {} grep -l Regex {} | wc -l,find path -name regex | xargs -i {} grep -l regex {} | wc -l,count number of file name _FILE under _FILE directori tree that match _REGEX in content
ssh -f -N -T -L Regex -L Regex Regex,ssh -f -n -t -l regex -l regex regex,set up local port forward in background with no termin or command execut from port _NUMBER to host _REGEX port _NUMBER and port _NUMBER to host _REGEX port _NUMBER via host _REGEX
true | xargs -I {} false {},true | xargs -i {} false {},execut _REGEX make _REGEX fail execut _REGEX and return _NUMBER exit code
head -c Quantity File | tr Regex Regex,head -c quantity file | tr regex regex,read _SIZE from _REGEX and print them by replac set _REGEX with _REGEX
find Path -type f -mmin -Quantity | xargs -I {} ls -l {},find path -type f -mmin -quantity | xargs -i {} ls -l {},list all regular file in and below home directori that been modifi in _TIMESPAN
shopt -o extglob,shopt -o extglob,show state of _REGEX shell option
find Path -size -Size -print,find path -size -size -print,search in current directori downward all file whose size is less _SIZE
find Path -user Regex -exec chgrp Regex {} \;,find path -user regex -exec chgrp regex {} \;,chang group of all file which belong to user edward to pub
date '+%Y' --date Regex,date '+%y' --date regex,print what year it was _TIMESPAN ago
"find PDFs/ -name *.pdf -exec sh -c pdftotext ""{}"" - | grep -C 2 -i --with-filename --label=""{}"" --color ""perry sound"" ;","find pdfs/ -name *.pdf -exec sh -c pdftotext ""{}"" - | grep -c 2 -i --with-filename --label=""{}"" --color ""perry sound"" ;",search _FILE file from directori tree _DIRECTORY for text _REGEX ignor case
sort -o File File,sort -o file file,sort _FILE and output result to _FILE
find Path \( ! -regex Regex \) | sed Program,find path \( ! -regex regex \) | sed program,find all file and directori start from current directori and exclud hidden file and directori
sort -n,sort -n,numer sort each line of standard input
"cal 02 2012|perl -lnE$.==1||eof||do{$,=""\t&"";$\=""\t\\\\\n"";$l=$_;print map{substr($l,$_*3,3)}(1..5)}","cal 02 2012|perl -lne$.==1||eof||do{$,=""\t&"";$\=""\t\\\\\n"";$l=$_;print map{substr($l,$_*3,3)}(1..5)}",convert unix _REGEX output to latex tabl code
find . -maxdepth 1 -type d | while read -r dir; do printf %s:\t $dir; find $dir -type f | wc -l; done,find . -maxdepth 1 -type d | while read -r dir; do printf %s:\t $dir; find $dir -type f | wc -l; done,list of directori _REGEX count of file in everi directori
rsync -a File File,rsync -a file file,archiv _REGEX to _DIRECTORY and creat directori _DIRECTORY if _DIRECTORY exist
find Path -name Regex -print0 | xargs -0 -p -I {} rm {},find path -name regex -print0 | xargs -0 -p -i {} rm {},find _REGEX file under _FILE and delet them with confirm prompt ensur white space safeti
diff -q -r File File | cut -d Regex -f Number | xargs -I {} dirname {} | uniq,diff -q -r file file | cut -d regex -f number | xargs -i {} dirname {} | uniq,find file in _REGEX folder with same name and locat but differ content than file in _FILE folder and save locat of such file to _REGEX variabl
find Path -name Regex | grep -f <( sed Program File ),find path -name regex | grep -f <( sed program file ),find all _FILE file in current folder which are present in pattern list file _FILE
find Path -type f -print | xargs -I {} grep -n -i Regex {},find path -type f -print | xargs -i {} grep -n -i regex {},find string _REGEX in file resid in current directori tree case insensit
"find -maxdepth 1 -name *.sql -exec sed -e s/ , );/1,1);/g {} + | mysql -D ootp","find -maxdepth 1 -name *.sql -exec sed -e s/ , );/1,1);/g {} + | mysql -d ootp",find all _FILE file in maximum _NUMBER level down current directori process it with sed and send output to a mysql command
ping -c Quantity Regex | awk -F Regex Program,ping -c quantity regex | awk -f regex program,print averag time of _NUMBER ping request to _FILE
find Path -perm +Permission -type f,find path -perm +permission -type f,find regular file that _PERMISSION or _PERMISSION set
find Path -type f ! -size Size -exec ls -l {} \;,find path -type f ! -size size -exec ls -l {} \;,print ls output for all non-empti file under under current directori
some_command | less -p regex,some_command | less -p regex,page through output of _REGEX posit view at first occurr of regular express _REGEX
git branch | grep * | cut -d   -f 2,git branch | grep * | cut -d   -f 2,print git branch current check out in a work directori
tar -c -z File File | split -b Size File Regex,tar -c -z file file | split -b size file regex,creat compress archiv from _REGEX and _REGEX and split into file of size _NUMBER mib with prefix _FILE
find Path -perm -Permission -type f | sort -r,find path -perm -permission -type f | sort -r,find all execut file under current directori and revers sort them
